Country,Year,Population,GDP per capita,Labor force,Unemployment,Employers,Agriculture,Industry,Manufacturing,Services,Trade,Gross capital formation,Tax rate,Gross national expenditure,Gross savings,Gross domestic savings,Consumer price index,Import value index,Final consumption expenditure,Exports,External balance,Natural resources rents,Gini index,Development expenditure,Health expenditure,Education expenditure,School enrollment primary,School enrollment secondary,School enrollment tertiary,Individuals using the Internet,International migrant stock
98.0,1999.0,14.928374,1.1301178440000001,7.729119,0.1346,0.007699999809,0.09886348639999999,0.3296666533,0.1409165178,0.5244232667,0.8257915136,0.1777616505,0.5371300000000001,1.017270545,0.1370779007,0.16049110509999998,0.38689662839999994,0.725218254,0.8395088948999999,0.4246209551,0.02345039662,0.10878245550000001,0.36456999999999984,0.0018383,0.04911368099099999,0.897942942812,0.9629010773000001,0.9337832641999999,0.24516569140000002,0.00464277218,0.02803682545623
98.0,2000.0,14.883626,1.229001247,7.698699,0.1275,0.008100000024,0.08110783885,0.3777582967,0.1649803593,0.48381538749999997,1.056996926,0.18139048030000002,0.4784300000000002,0.9210240494999999,0.2117117201,0.2603664308,0.43789304960000003,1.0,0.7396335692,0.566024268,0.07505160965,0.2579733287,0.3567299999999998,0.0018104,0.0416031075,0.933795675659,0.9695320128999999,0.9370327759,0.3181212997,0.006685944029999999,0.1919732798
98.0,2001.0,14.858335,1.49092709,7.690521,0.1043,0.008799999952,0.08724831864,0.3614182986,0.16445090189999997,0.49371713159999997,0.9284906851,0.2687642284,0.4673000000000001,0.9820267579999999,0.24809925239999997,0.28673747039999997,0.4744752383,1.278968254,0.7132625296,0.4589501861,-0.01059031285,0.20120707119999998,0.36,0.0022009,0.0347096658,0.9272831695569995,0.9994767761,0.874741590886,0.36367068671980013,0.01006124211,0.06790641659547
98.0,2002.0,14.858948,1.658030785,7.714111,0.0933,0.008799999952,0.07995909093,0.35810932110000004,0.1449613089,0.5047115052,0.9403168565,0.27287723280000004,0.44722,0.9349623767999999,0.30255851100000003,0.33791485600000004,0.5021699998,1.306349206,0.662085144,0.46990640759999996,-0.0005040413743000001,0.223957941,0.348,0.0025509,0.0361480379,0.9305293274,1.0163237,0.8533775249589998,0.3512722106946,0.016747709950000002,0.06398450625977999
98.0,2003.0,14.909019,2.068123979,7.762577,0.08779999999999999,0.009300000071999999,0.07862206027,0.3507526591,0.1421774744,0.5182202732,0.9146333243,0.2570391259,0.45872,0.9144635705,0.28520741390000004,0.3425755554,0.5345007997,1.668392857,0.6574244446,0.48417022090000006,0.05370711764,0.22346564010000003,0.337,0.0025246,0.037233505199999996,0.934274034124,1.026658173,0.849144128047,0.3595549631096,0.02000414753,0.08789914851086994
98.0,2004.0,15.012984,2.874288483,7.806603,0.084,0.011399999860000001,0.07122957987999999,0.3535184195,0.1331415365,0.5338009899,0.964091997,0.2631108968,0.42891999999999997,0.9145860939000001,0.2741625027,0.34852480290000004,0.5712854354,2.535952381,0.6514751971,0.5250041043,0.08591621149,0.2767334722,0.318,0.0024837,0.0398307776,0.9407334137,1.034474182,0.8557309452149999,0.38725135731870003,0.026503946570000003,0.1319641107225
98.0,2005.0,15.147029,3.771278957,7.952005,0.08130000000000001,0.0124000001,0.06369523015999999,0.37628018150000003,0.1204139307,0.5202188472,0.9776250302,0.3096976804,0.45,0.920752679,0.28454820999999997,0.3889450015,0.6145888674,3.443055556,0.6110549985,0.5319435825,0.08626213484,0.2979711952,0.39799999999999996,0.0028361,0.039017238600000004,0.9381385803000001,1.025416794,0.8489882362440001,0.400436610318,0.02961707492,0.2008161922
98.0,2006.0,15.308085,5.291575305,8.084175,0.0779,0.01470000029,0.05495834862,0.3935645575,0.1163245808,0.5162499773,0.9145352680000001,0.3390079132,0.45,0.8980333847,0.3106407567,0.4409745285,0.6681914269000001,4.69781746,0.5590254714999999,0.5097529784,0.1049706889,0.29179648490000004,0.302,0.0024281,0.0339824891,0.9207324982,1.014763565,0.9994946289000001,0.5819260024999999,0.03268369051,0.10325713449830001
98.0,2007.0,15.484192,6.771414797,8.229094,0.0726,0.01610000014,0.056602915190000005,0.37730897480000003,0.1149160524,0.5423032774,0.9216163310000001,0.35526699489999997,0.419,0.9168203319,0.2939037713,0.438446663,0.7406690564999999,6.499206349,0.561553337,0.4931282089,0.06464008684,0.26573522780000003,0.301,0.0020884,0.0270314837,0.918012085,1.0277171330000001,0.9709009544219994,0.5128096629999999,0.04019999999999999,0.08419975886302994
98.0,2008.0,15.776938,8.458017153999998,8.439503,0.0663,0.01549999952,0.05315803247,0.4025024558,0.117738897,0.5210486825,0.9429480465000001,0.275064843,0.42,0.8210679027000001,0.3008561288,0.4539969403,0.8676189905,7.517658730000001,0.5460030597,0.5714638494,0.19997965229999998,0.3200883622,0.285,0.0021654,0.0304952645,0.9043369293000001,1.0708397669999998,0.980028379813,0.4734391893299999,0.11,0.09350580605986002
98.0,2009.0,16.092822,7.165223175,8.573098,0.0655,0.02170000076,0.06146884987,0.3843148085,0.1087215357,0.5399521168,0.7576606746,0.29414564519999997,0.36200000000000004,0.886003102,0.2941296514,0.40814254320000004,0.9310946776,5.636642857000001,0.5918574568,0.4183842245,0.07910777429,0.2087568051,0.282,0.0022924,0.034991376399999996,0.9102017212,1.0832630159999999,0.9836905059590001,0.49204681986829996,0.182,0.07003157356182
98.0,2010.0,16.321872,9.070488252999999,8.721578,0.057699999999999994,0.0199000001,0.0451052753,0.4060242212,0.1132131822,0.5168003949,0.7413826589999999,0.25373549019999997,0.298,0.815663759,0.3038927409,0.43807173120000004,1.0,6.171964286,0.5619282688,0.442441795,0.143500931,0.2421193664,0.28,0.0015340999999999998,0.0273641396,0.9060475922000001,1.087613678,0.9847992705999999,0.46247970580000003,0.316,0.2044448453
98.0,2011.0,16.557202,11.6340012,8.808571,0.053899999999999997,0.02089999914,0.049889741560000006,0.372660881,0.11086574219999999,0.48889032810000005,0.7311785705,0.2299814602,0.29,0.7566521058,0.32791712939999995,0.4733293544,1.084248876,7.322579365,0.5266706456,0.4646466279,0.1981146854,0.2719230633,0.28,0.0015348999999999998,0.026023666900000002,0.9331233215,1.097716522,0.9990897368999999,0.4870264816,0.506,0.18904627786804987
98.0,2012.0,16.79209,12.38669927,8.893426,0.0529,0.02140000105,0.042883301559999996,0.36302853329999996,0.1108079904,0.5138985300000001,0.7372373249,0.2522966023,0.29,0.8168801441,0.2975482574,0.43541645819999997,1.139522961,9.198095238,0.5645835418,0.4410966304,0.1449559359,0.2339118345,0.282,0.0016525,0.0303725982,0.9179792786000001,1.103984604,1.0221449280000001,0.5160951996,0.6190662747,0.2097672684468599
